Id,Ingredients,Ingredients_tr
648,beef top loin,sığır eti üst filetosu
649,beef top round,sığır eti üst yuvarlak
650,beef top round steak,sığır eti üst yuvarlak biftek
651,beef top sirloin,sığır filetosu
652,beef top sirloin roast,dana eti üst sığır filetosu kızartma
653,beef top sirloin steak,sığır eti üst sığır filetosu biftek
654,beef tri tip,sığır eti üçlü ipucu
655,beef tri tip roast,sığır eti üç uçlu kızartma
656,beef tri tip steak,sığır eti üç uçlu biftek
657,beef tripe,sığır işkembe
658,beef turkey,sığır eti hindisi
659,beef vegetarian substitute,sığır eti vejetaryen yerine
660,beefsteak tomato,biftek domates
661,beefy mushroom soup,etli mantar çorbası
662,beefy onion soup mix,etli soğan çorbası karışımı
663,beet,pancar
664,beet green,pancar yeşili
665,beet green attached,pancar yeşili ekli
666,beet green scrubbed,pancar yeşili temizlendi
667,beet juice,pancar suyu
668,beet liquid,pancar sıvısı
669,beet scrubbed,pancar temizlendi
670,beet top stem,pancar üst sapı
671,beet trimmed,pancar kesilmiş
672,belacan,Belacan
673,belacan shrimp paste,belacan karides ezmesi
674,belgian endive,Belçika hindibası
675,belgian endive leave,Belçika hindiba izni
676,belgian endive washed,Belçika hindibasının başı
677,belgian pearl sugar,Belçika inci şekeri
678,belgian waffle mix,Belçika waffle karışımı
679,belgioioso gorgonzola cheese,belgioioso gorgonzola peyniri
680,belgioioso mozzarella cheese,belgioioso mozzarella peyniri
681,belgioioso mozzarella pearl cheese,belgioioso mozzarella inci peyniri
682,belgioioso parmesan cheese,belgioioso parmesan peyniri
683,bell pepper,dolmalık biber
684,bell pepper ancho chili pepper jam,dolmalık biber ancho chili biber reçeli
685,bell pepper in water,suda dolmalık biber
686,bell pepper onion,dolmalık biber soğan
687,bell pepper onion mix,dolmalık biber soğan karışımı
688,bell pepper stemmed,dolmalık biber saplı
689,bell pepper strip,dolmalık biber şeridi
690,bell pepper top,dolmalık biber üst
691,bell pepper top seed removed,Dolmalık biberin üst çıkarıldı
692,bella mushroom,güzel mantar
693,belt candy strip,kemer şeker şeridi
694,beluga lentil,beluga mercimeği
695,ben original ready rice jasmine,ben orijinal hazır pirinç yasemin
696,berbere,berberi
697,berbere spice blend,berbere baharat karışımı
698,bermuda onion,bermuda soğanı
699,berry,dut
700,berry cherry,dut kiraz
701,berry cream cheese,meyveli krem ​​peynir
702,berry fruit,dut meyvesi
703,berry fruit juice,meyve suyu
704,berry juice blend,meyve suyu karışımı
705,best real mayonnaise,en iyi gerçek mayonez
706,better than chicken base,tavuk tabanından daha iyi
707,bettern,daha iyi
708,beyond beyond plant based,bitki bazlı olmanın ötesinde
709,bia part onion,bia kısmı soğan
710,bia scallion,bia yeşil soğan
711,bia snow pea pod,bia kar bezelye kabuğu
712,bibb boston lettuce,bibb boston marulu
713,bibb butter lettuce leave,bibb tereyağı marul izni
714,bibb lettuce,bibb marul
715,bibb lettuce leave,bibb marul izni
716,biga,biga
717,bing cherry,bing kiraz
718,bird chile,kuş şili
719,bird chile pepper,kuş şili biberi
720,bird eye chile,kuş bakışı şili
721,bird eye chile pepper,kuş gözü şili biberi
722,bird recipe ready pepper onion,kuş tarifi hazır biber soğan
723,bird recipe ready primavera blend,kuş tarifi hazır primavera karışımı
724,bird recipe ready southwest blend,kuş tarifi hazır güneybatı karışımı
725,bird recipe ready zucchini,kuş tarifi hazır kabak
726,bird s eye chile,kuşbakışı şili
727,birdrsquo eye chile,Birdrsquo göz şili
728,biryani masala powder,biryani masala tozu
729,biscuit,bisküvi
730,biscuit baking mix,bisküvi pişirme karışımı
731,biscuit dough,bisküvi hamuru
732,biscuit mix,bisküvi karışımı
733,bison,bizon
734,bison back rib,bizon sırt kaburgası
735,bison breakfast sausage,bizon kahvaltı sosisi
736,bison flank steak,bizon yan biftek
737,bison skirt steak,bizon etek biftek
738,bison skirt steak bison ribeye steak,bizon etek biftek bizon antrikot biftek
739,bite candy,şeker ısırmak
740,bite size broccoli,ısırık büyüklüğünde brokoli
741,bite size broccoli floret,ısırık büyüklüğünde brokoli çiçeği
742,bite size cauliflower floret,ısırık büyüklüğünde karnabahar çiçeği
743,bite size cheese cracker,lokma büyüklüğünde peynirli kraker
744,bite size corn square cereal,ısırık büyüklüğünde mısır kare mısır gevreği
745,bite size frosted wheat cereal,ısırık büyüklüğünde buzlu buğday gevreği
746,bite size potato nugget,ısırık büyüklüğünde patates külçesi
747,bite size pretzel,ısırık büyüklüğünde kraker
748,bite size pretzel twist,ısırık büyüklüğünde çubuk kraker büküm
749,bite size rice square cereal,ısırık büyüklüğünde pirinç kare mısır gevreği
750,bite size romaine lettuce,lokma büyüklüğünde marul
751,bite size summer squash,ısırık büyüklüğünde yaz kabağı
752,bite size wheat square cereal,ısırık büyüklüğünde buğday kare tahıl
753,bite watermelon,karpuz ısırmak
754,bitter,acı
755,bitter aperitif,acı aperatif
756,bitter chocolate,acı çikolata
757,bitter marinade,acı turşusu
758,bitter melon,acı kavun
759,bitter soda,acı soda
760,bittersweet baking chocolate,acı tatlı pişirme çikolata
761,bittersweet cacao baking chip,acı tatlı kakaolu pişirme çipi
762,bittersweet chocolate,acı tatlı çikolata
763,bittersweet chocolate bar almond nougat,acı tatlı çikolata bar bademli nuga
764,bittersweet chocolate chip,acı tatlı çikolata parçacıkları
765,"black beans,",fasulye
766,"black beans, and","ons) kutu siyah fasulye, durulanmış ve suyu süzülmüş"
767,black olives,ons) siyah zeytin konservesi
768,"black olives,",zeytin
769,black pepper,karabiber
770,black pepper to taste,tatmak için karabiber
771,"black pepper, or to taste",karabiber veya tadı
772,blackberry,böğürtlen
773,blackberry flavored yogurt,böğürtlen aromalı yoğurt
774,blackberry in syrup,şuruplu böğürtlen
775,blackberry jam,böğürtlen reçeli
776,blackberry juice,böğürtlen suyu
777,blackberry pie filling,böğürtlenli pasta dolması
778,blackberry preserve,böğürtlen konservesi
779,blackberry schnapp,böğürtlen likörü
780,blackened cajun seasoning,karartılmış cajun baharatı
781,blackened seasoning,kararmış baharat
782,blackening seasoning,kararma baharatı
783,blackstrap molasse,siyah şerit pekmezi
784,blade roast,bıçak kızartma
785,blanched slivered almonds,beyazlatılmış şeritli badem
786,"blanched slivered almonds, toasted","beyazlatılmış şeritli badem, kızartılmış"
787,bleached all purpose flour,ağartılmış çok amaçlı un
788,bleached cake flour,ağartılmış kek unu
789,bleu cheese,mavi peynir
790,block,engellemek
791,block cheddar cheese,blok kaşar peyniri
792,block feta cheese,beyaz peynir blok
793,block sharp cheddar cheese,keskin kaşar peyniri blok
794,blood,kan
795,blood juice,kan suyu
796,blood marmalade,kan marmelatı
797,blood orange,kan portakalı
798,blood zest,kan lezzeti
799,bloody mary mix,kanlı mary karışımı
800,bloody mary spice mix,Bloody Mary baharat karışımı
801,blossom,çiçek
802,blossom honey,çiçek balı
803,blossom water,çiçeği suyu
804,blue,mavi
805,blue agave nectar,mavi agav nektarı
806,blue candy coated milk chocolate,mavi şeker kaplı sütlü çikolata
807,blue cheese,mavi peynir
808,blue cheese crumble,mavi peynir ezmesi
809,blue cheese dressing,mavi peynir sosu
810,blue cheese salad dressing,mavi peynirli salata sosu
811,blue corn tortilla,mavi mısır tortilla
812,blue corn tortilla chip,mavi mısır tortilla cipsi
813,blue cornmeal,mavi mısır unu
814,blue crab crabmeat,mavi yengeç yengeç eti
815,blue crabmeat,mavi yengeç eti
816,blue diamond almond breeze vanilla almond milk,mavi elmas badem esintisi vanilya badem sütü
817,blue diamond almond flour,mavi elmas badem unu
818,blue diamond honey almond,mavi elmas bal badem
819,blue diamond vanilla almond breeze,mavi elmas vanilya badem esintisi
820,blue food coloring,mavi gıda boyası
821,blue gel food coloring,mavi jel gıda boyası
822,blue hubbard squash,mavi kabak
823,blue paste food coloring,mavi macun gıda boyası
824,blue spirulina powder,mavi spirulina tozu
825,"blueberries, raspberries and strawberries, mixed","yaban mersini, ahududu ve çilek, karışık"
826,blueberry,Yabanmersini
827,blueberry baking chip,yaban mersini pişirme çipi
828,blueberry blueberry,yaban mersini yaban mersini
829,blueberry cream cheese spread,yaban mersinli krem ​​peynir yayılması
830,blueberry extract,yaban mersini özü
831,blueberry flavored yogurt,yaban mersini aromalı yoğurt
832,blueberry jam,yaban mersini reçeli
833,blueberry jelly,yaban mersinli jöle
834,blueberry pie filling,yaban mersinli pasta dolması
835,blueberry preserve,yaban mersini konservesi
836,blueberry skyr,yaban mersini skyr
837,blueberry syrup,yaban mersini şurubu
838,bluefish fillet,Lüfer filetosu
839,boar manchego cheese,domuz manchego peyniri
840,boar s curry chicken,domuz körili tavuk
841,boar s ichiban teriyaki oven chicken,domuzun ichiban teriyaki fırın tavuğu
842,bocconcini,bocconcini
843,bocconcini cheese,bocconcini peyniri
844,boil in quinoa,kinoayı kaynatın
845,boil in rice,pirinçte kaynatın
846,boiled,haşlanmış
847,boiled chicken breast meat,haşlanmış tavuk göğüs eti
848,boiled egg,haşlanmış yumurta
849,boiled peanut,haşlanmış fıstık
850,bok choy,Çin lahanası
851,bok choy rib leave,"Çin lahanası kaburgası, yapraklarıyla birlikte,"
852,bok choy stalk cut into inch stick,Çin lahanası sapı inçlik çubuk halinde kesilmiş
853,bold taco seasoning,cesur taco baharatı
854,bolillo roll,Bolillo rulosu
855,bologna,bolonya
856,bologna block,bolonya bloğu
857,bone broth,kemik suyu
858,bone in,kemik içinde
859,bone in beef shank,dana incikindeki kemik
860,bone in beef short rib,sığır kısa kaburga kemiği
861,bone in chicken,tavuktaki kemik
862,bone in chicken breast,tavuk göğsündeki kemik
863,bone in chicken breast halve,yarım tavuk göğsündeki kemik
864,bone in chicken breast halve skin,tavuk göğsündeki kemik yarı deri
865,bone in chicken breast skin,tavuk göğsü derisindeki kemik
866,bone in chicken drumstick,tavuk butundaki kemik
867,bone in chicken drumstick thigh,tavuk but butundaki kemik
868,bone in chicken part,tavuk kısmındaki kemik
869,bone in chicken thigh,tavuk butundaki kemik
870,bone in chicken thigh skin,tavuk uyluk derisindeki kemik
871,bone in goat meat,keçi etindeki kemik
872,bone in prime rib,birinci sınıf kaburga kemiği
873,bone in turkey breast,hindi göğsündeki kemik
874,bone in turkey breast skin,hindi göğüs derisindeki kemik
875,boned,kemikli
876,boned skinned chicken breast halve,kemikli derisi alınmış tavuk göğsü yarım
877,bonito flake,palamut pulu
878,bonito shaving,palamut tıraşı
879,bonnet chile,kaput şili
880,bonnet chile pepper,kaporta şili biberi
881,bonnet pepper,kaporta biberi
882,borage flower,hodan çiçeği
883,borage leave,hodan izni
884,borgonzola cheese,borgonzola peyniri
885,bosc pear,bosc armut
886,boston butt roast,boston kıçı kızartma
887,boston lettuce,Boston marulu
888,boston lettuce leave,Boston marul izni
889,bottled apple juice,şişelenmiş elma suyu
890,bottled barbecue sauce,şişelenmiş barbekü sosu
891,bottled bloody mary mix,şişelenmiş Bloody Mary karışımı
892,bottled buffalo wing sauce,şişelenmiş bufalo kanadı sosu
893,bottled caesar salad dressing,şişelenmiş Sezar salatası sosu
894,bottled cherry juice,şişelenmiş kiraz suyu
895,bottled chili sauce,şişelenmiş biber sosu
896,bottled garlic,şişelenmiş sarımsak
897,bottled lemon juice,şişelenmiş limon suyu
898,bottled lime juice,şişelenmiş limon suyu
899,bottled margarita mix,şişelenmiş margarita karışımı
900,bottled marinara sauce,şişelenmiş marinara sosu
901,bottled oil vinegar salad dressing,şişelenmiş yağ ve sirkeli salata sosu (Newman's Own® gibi
902,bottled pepper,şişelenmiş biber
903,bottled pina colada drink mix,şişelenmiş pina colada içecek karışımı
904,bottled teriyaki sauce,şişelenmiş teriyaki sosu
905,bottled water,şişelenmiş su
906,bottom,alt
907,bottom round,alt yuvarlak
908,bottom round beef roast,alt yuvarlak sığır eti kızartma
909,bottom round cube steak,alt yuvarlak küp biftek
910,bottom round roast,alt yuvarlak kızartma
911,bottom round roast other roast,pound) sığır eti yuvarlak kızartma veya diğer kızartma
912,bottomed ice cream cone,dipli dondurma külahı
913,boudin sausage,Boudin sosisi
914,bouillon,bulyon
915,bouillon cube,bulyon küpü
916,bouqet garni spice ball,buket garni baharat topu
917,boursin cheese,Bursin peyniri
918,boursin cheese herb,boursin peyniri otu
919,bow tie pasta,papyonlu makarna
920,bow tie penne pasta,papyonlu penne makarna
921,bowl ice water to cool the mixture,Karışımı soğutmak için buzlu su kabı
922,boxed original mashed potato,kutulu orijinal patates püresi
923,boysenberry,böğürtlen
924,boysenberry jam,böğürtlen reçeli
925,bran,kepek
926,bran cereal,kepek gevreği
927,bran flake,kepek gevreği
928,bran flake cereal,kepek gevreği
929,bran meal,kepek yemeği
930,brand chocolate candy,marka çikolata şeker
931,brand frank,marka Frank
932,brat bun,velet çöreği
933,bratwurst,sosis
934,bratwurst link,sosisli sandviç bağlantısı
935,bratwurst sausage,sosisli sandviç
936,braunschweiger,braunschweiger
937,braunschweiger liver sausage,braunschweiger karaciğer sosisi
938,braunschweiger liverwurst,braunschweiger ciğer sosisi
939,brazil nut,Brezilya cevizi
940,bread,ekmek
941,bread baguette,ekmek baget
942,bread butter pickle,ekmek tereyağı turşusu
943,bread cake,ekmek keki
944,bread cracker crumb,ekmek kırıntısı kırıntısı
945,bread crumb,ekmek kırıntısı
946,bread crumb matzo meal,ekmek kırıntısı matzo yemeği
947,bread crumb topping,ekmek kırıntısı tepesi
948,bread crumbs,ekmek kırıntısı
949,bread crust,ekmek kabuğu
950,bread crust removed,ekmek kabuğu çıkarıldı
951,bread cube,ekmek küpü
952,bread cube crouton,ekmek küpü kruton
953,bread dough,ekmek hamuru
954,bread flour,ekmek unu
955,bread flour all purpose flour,ekmek unu çok amaçlı un
956,bread improver,ekmek geliştirici
957,bread loave,ekmek somunu
958,bread machine yeast,ekmek makinası mayası
959,bread pocket,ekmek cebi
960,bread roll,ekmek rulosu
961,bread roll split,ekmek rulosu bölünmüş
962,bread round,ekmek yuvarlak
963,bread slice,ekmek dilimi
964,bread stick dough,ekmek hamuru
965,bread stuffing mix,ekmek doldurma karışımı
966,bread stuffing mix seasoning packet,ekmek doldurma karışımı baharat paketi
967,breadcrumb,ekmek kırıntısı
968,breaded chicken breast,ekmekli tavuk göğsü
969,breaded chicken breast fillet,panelenmiş tavuk göğsü filetosu
970,breaded chicken fillet,panelenmiş tavuk fileto
971,breaded chicken patty,panelenmiş tavuk köftesi
972,breaded fish fillet,ekmekli balık filetosu
973,breadstick dough,galeta unu hamuru
974,breakfast patty,kahvaltı köftesi
975,breakfast sausage,kahvaltı sosisi
976,breakfast sausage crumble,kahvaltılık sosis ezmesi
977,breakfast sausage link,kahvaltı sosis bağlantısı
978,breakfast turkey sausage link,kahvaltı hindi sosis bağlantısı
979,breakstone knudsen cream,breakstone knudsen kreması
980,breakstone reduced knudsen cream,breakstone azaltılmış knudsen kreması
981,breast,göğüs
982,breast cutlet,göğüs pirzolası
